"Attribute";"Frage";"Antwort1";"Antwort2";
;"Sound of g";"gum";;
;"Sound of c";"ship";;
;"Sound of j";"measure";"bonjour (French)";
;"Sound of x";"Bach (German)";"Jose (Spanish)";"Khaled (Arabic)"
;"Sound of b";"b ";"by";
;"Sound of d";"d";"dy";
;"Sound of f";"f";"fu";
;"Sound of k";"k";"ku";
;"Sound of l";"l";"lu";
;"Sound of m";"m ";"mu";
;"Sound of n";"n";"nu";
;"Sound of p";"p";"pu";
;"Sound of r";"r";"ru";
;"Sound of s";"s";"su";
;"Sound of t";"t";"tu";
;"Sound of v";"v";"v";
;"Sound of z";"z";"z";
